engine,name,split,unit,sector,observed,predicted,relative_error_percent,pass_1_percent,pass_0_1_percent,leakage_status
HONEST_BIP39_PRIOR,alpha particle mass,train,kg,nuclear_particle,6.644657345e-27,3.771190459990763e-25,5575.522851194914,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle mass energy equivalent,train,J,nuclear_particle,5.9719201997e-10,6.020671189433396e-10,0.816336925196102,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle mass energy equivalent in MeV,train,MeV,nuclear_particle,3727.3794118,3664.31476976819,1.691929773292253,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle mass in u,test,u,nuclear_particle,4.001506179129,4.0,0.03764030496455432,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle molar mass,train,kg mol^-1,thermodynamic_statistical,0.0040015061833,0.00390625,2.3805082120713745,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle relative atomic mass,test,,dimensionless_ratio,4.001506179129,4.0,0.03764030496455432,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle rms charge radius,train,m,electromagnetic_quantum,1.6785e-15,1.6703300308042759e-15,0.48674228154447785,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle-electron mass ratio,test,,dimensionless_ratio,7294.29954171,7170.885115948437,1.691929774145682,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,alpha particle-proton mass ratio,train,,dimensionless_ratio,3.972599690252,4.0,0.6897324644925816,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Angstrom star,train,m,general_dimensional,1.00001495e-10,1.0034135461815165e-10,0.33985453732632354,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass constant,train,kg,general_dimensional,1.66053906892e-27,3.771190459990763e-25,22610.639758951966,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass constant energy equivalent,test,J,general_dimensional,1.49241808768e-10,1.505167797358349e-10,0.8542987909084291,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass constant energy equivalent in MeV,train,MeV,general_dimensional,931.49410372,937.8139112331337,0.6784592074061461,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-electron volt relationship,train,eV,quantum_atomic,931494103.72,934281216.0,0.299208794652527,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-hartree relationship,train,E_h,quantum_atomic,34231776.922,33554432.0,1.9787021969189218,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-hertz relationship,train,Hz,general_dimensional,2.25234272185e+23,1.7880638506038924e+23,20.613153883826534,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-inverse meter relationship,train,m^-1,general_dimensional,751300662090000.0,746106403961069.4,0.6913687676623388,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-joule relationship,train,J,general_dimensional,1.49241808768e-10,1.505167797358349e-10,0.8542987909084291,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-kelvin relationship,train,K,thermodynamic_statistical,10809540206700.0,10795205072709.818,0.13261557583454286,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic mass unit-kilogram relationship,train,kg,general_dimensional,1.66053906892e-27,3.771190459990763e-25,22610.639758951966,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of 1st hyperpolarizability,train,C^3 m^3 J^-2,quantum_atomic,3.2063612996e-53,3.771190459990763e-25,1.1761589252157037e+30,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of 1st hyperpolarizablity,test,C^3 m^3 J^-2,quantum_atomic,3.20636151e-53,3.771190459990763e-25,1.1761588480366843e+30,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of 2nd hyperpolarizability,train,C^4 m^4 J^-3,quantum_atomic,6.2353799735e-65,3.771190459990763e-25,6.048052365722862e+41,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of 2nd hyperpolarizablity,train,C^4 m^4 J^-3,quantum_atomic,6.2353808e-65,3.771190459990763e-25,6.0480515640532545e+41,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of action,train,J s,quantum_atomic,1.0545718176461565e-34,3.771190459990763e-25,357603948430.33344,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of charge,test,C,quantum_atomic,1.602176634e-19,1.636097905766929e-19,2.117199255505381,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of charge density,train,C m^-3,quantum_atomic,1081202386770.0,1092929302677.3477,1.0846180188688648,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of current,train,A,quantum_atomic,0.0066236182375082,0.006631455962162306,0.11832995763135173,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric dipole mom.,train,C m,quantum_atomic,8.4783536198e-30,3.771190459990763e-25,4447922.13861861,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric dipole moment,train,C m,quantum_atomic,8.47835309e-30,3.771190459990763e-25,4447922.416569068,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric field,test,V m^-1,quantum_atomic,514220675112.0,516942105988.34894,0.5292340444608137,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric field gradient,train,V m^-2,quantum_atomic,9.7173624424e+21,1.004425214813485e+22,3.363975643313715,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric polarizability,train,C^2 m^2 J^-1,quantum_atomic,1.64877727212e-41,3.771190459990763e-25,2.2872649470366372e+18,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric polarizablity,train,C^2 m^2 J^-1,quantum_atomic,1.648777274e-41,3.771190459990763e-25,2.2872649444286085e+18,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric potential,train,V,quantum_atomic,27.211386245981,27.162443621016806,0.17986082929318986,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric quadrupole mom.,train,C m^2,quantum_atomic,4.4865515185e-40,3.771190459990763e-25,8.405543644022592e+16,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of electric quadrupole moment,train,C m^2,quantum_atomic,4.48655124e-40,3.771190459990763e-25,8.405544165791717e+16,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of energy,test,J,quantum_atomic,4.359744722206e-18,4.287632120861194e-18,1.6540555913172321,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of force,train,N,quantum_atomic,8.2387235038e-08,8.195638656616211e-08,0.5229553724423093,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of length,train,m,quantum_atomic,5.29177210544e-11,5.335702250401179e-11,0.8301594264805611,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of mag. dipole mom.,train,J T^-1,quantum_atomic,1.85480201315e-23,6.1335069477956684e-24,66.93174309543062,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of mag. flux density,train,T,quantum_atomic,235051.757077,234849.49715065962,0.08604910205972649,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of magn. dipole moment,train,J T^-1,quantum_atomic,1.8548019e-23,6.1335069477956684e-24,66.93174107814063,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of magn. flux density,train,T,quantum_atomic,235051.757077,234849.49715065962,0.08604910205972649,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of magnetizability,train,J T^-2,quantum_atomic,7.8910365794e-29,3.771190459990763e-25,477808.12044081383,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of mass,test,kg,quantum_atomic,9.1093837139e-31,3.771190459990763e-25,41398863.73270902,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of mom.um,train,kg m s^-1,quantum_atomic,1.992851882e-24,5.592641446569509e-24,180.63507865706546,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of momentum,train,kg m s^-1,quantum_atomic,1.99285191545e-24,5.592641446569509e-24,180.63507394660843,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of permittivity,test,F m^-1,quantum_atomic,1.1126500562e-10,1.1288758480187619e-10,1.4583014424299106,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of time,train,s,quantum_atomic,2.4188843265864e-17,2.4671622769447922e-17,1.9958767696231086,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,atomic unit of velocity,train,m s^-1,quantum_atomic,2187691.26216,2196132.438887047,0.3858486283257748,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Avogadro constant,train,mol^-1,general_dimensional,6.02214076e+23,1.7880638506038924e+23,70.30850121470937,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr magneton,train,J T^-1,quantum_atomic,9.2740100657e-24,6.1335069477956684e-24,33.86348619050466,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr magneton in eV/T,test,eV T^-1,quantum_atomic,5.7883817982e-05,5.739210284664831e-05,0.84948635472629,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr magneton in Hz/T,train,Hz T^-1,quantum_atomic,13996244917.1,13985253560.803629,0.07853075136562308,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr magneton in inverse meter per tesla,train,m^-1 T^-1,quantum_atomic,46.686447719,46.54545454545455,0.302000217266634,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr magneton in inverse meters per tesla,train,m^-1 T^-1,quantum_atomic,46.68644814,46.54545454545455,0.30200111630393206,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr magneton in K/T,test,K T^-1,quantum_atomic,0.67171381472,0.6719203983657199,0.03075471148468453,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Bohr radius,train,m,quantum_atomic,5.29177210544e-11,5.335702250401179e-11,0.8301594264805611,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Boltzmann constant,train,J K^-1,thermodynamic_statistical,1.380649e-23,6.1335069477956684e-24,55.57519001718997,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Boltzmann constant in eV/K,train,eV K^-1,thermodynamic_statistical,8.617333262145179e-05,8.608815426997245e-05,0.09884537233056911,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Boltzmann constant in Hz/K,test,Hz K^-1,thermodynamic_statistical,20836619123.327576,20847699113.757366,0.05317556732313606,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Boltzmann constant in inverse meter per kelvin,train,m^-1 K^-1,thermodynamic_statistical,69.50348004861274,69.81928299509865,0.45436997725152894,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Boltzmann constant in inverse meters per kelvin,train,m^-1 K^-1,thermodynamic_statistical,69.503457,69.81928299509865,0.45440328975096744,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,characteristic impedance of vacuum,train,ohm,relativity_gravity,376.730313412,374.34375,0.6334938620641318,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,classical electron radius,train,m,lepton_particle,2.8179403205e-15,2.8070381400908017e-15,0.3868847161129283,True,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Compton wavelength,train,m,quantum_atomic,2.42631023538e-12,2.4253192047278085e-12,0.040845174608774605,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,Compton wavelength over 2 pi,train,m,quantum_atomic,3.8615926764e-13,3.724102080675221e-13,3.560463447246735,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conductance quantum,test,S,general_dimensional,7.748091729863649e-05,7.891414141414141e-05,1.8497769069780259,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conventional value of ampere-90,train,A,general_dimensional,1.0000000888714378,1.0,8.887142986634995e-06,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conventional value of coulomb-90,test,C,general_dimensional,1.0000000888714378,1.0,8.887142986634995e-06,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conventional value of farad-90,train,F,general_dimensional,0.9999999822063325,1.0,1.7793667856015424e-06,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conventional value of henry-90,train,H,general_dimensional,1.0000000177936679,1.0,1.7793667555853113e-06,True,True,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conventional value of Josephson constant,train,Hz V^-1,electromagnetic_quantum,483597900000000.0,489832430174208.0,1.2891971148361068,False,False,NO_TARGET_VALUE
HONEST_BIP39_PRIOR,conventional value of ohm-90,train,ohm,general_dimensional,1.0000000177936679,1.0,1.7793667555853113e-06,True,True,NO_TARGET_VALUE
